------------------------------------------------------------------- 
Name: 00009 
Date: 2021-05-06 
Number of Terminations: 63 
Number of Bifurcations: 182 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminations : 
------------------------------------------------------------------- 
X          Y     Angle 
NaN 	 NaN 	 NaN 
123 	 124 	 3.14 	 	 -2.36 	 	 0.00 
 46 	 125 	 3.14 	 	 -1.57 	 	 0.52 
 92 	 125 	 3.14 	 	 -1.57 	 	 0.00 
 98 	 125 	 -2.62 	 	 1.05 	 	 -0.52 
131 	 127 	 2.62 	 	 1.05 	 	 -0.79 
178 	 127 	 -2.36 	 	 1.57 	 	 -0.52 
169 	 129 	 2.36 	 	 -1.57 	 	 0.00 
 30 	 132 	 3.14 	 	 -1.57 	 	 0.79 
154 	 132 	 2.62 	 	 1.05 	 	 -0.79 
119 	 133 	 3.14 	 	 1.57 	 	 -0.79 
 57 	 134 	 3.14 	 	 1.05 	 	 -0.79 
224 	 136 	 2.09 	 	 -1.57 	 	 0.52 
 47 	 138 	 -2.62 	 	 1.57 	 	 0.52 
162 	 140 	 2.62 	 	 -1.57 	 	 0.00 
245 	 142 	 3.14 	 	 1.57 	 	 -0.79 
 34 	 143 	 3.14 	 	 1.57 	 	 0.00 
133 	 147 	 2.62 	 	 -2.36 	 	 -0.52 
152 	 149 	 -2.36 	 	 2.09 	 	 -0.52 
170 	 153 	 2.36 	 	 -1.05 	 	 0.00 
262 	 154 	 3.14 	 	 1.57 	 	 -0.52 
217 	 155 	 2.36 	 	 -2.36 	 	 0.00 
124 	 156 	 2.36 	 	 0.79 	 	 -0.52 
 78 	 157 	 3.14 	 	 1.57 	 	 -0.52 
 13 	 161 	 2.62 	 	 -2.09 	 	 0.52 
 87 	 165 	 -2.62 	 	 1.57 	 	 -0.52 
114 	 165 	 2.36 	 	 -1.57 	 	 0.00 
206 	 166 	 2.36 	 	 -2.36 	 	 0.00 
121 	 172 	 3.14 	 	 1.05 	 	 -1.05 
232 	 172 	 3.14 	 	 1.57 	 	 -0.52 
 98 	 173 	 2.36 	 	 -2.09 	 	 0.00 
281 	 174 	 2.36 	 	 -2.09 	 	 0.52 
290 	 177 	 2.36 	 	 -2.09 	 	 -0.52 
153 	 179 	 3.14 	 	 1.57 	 	 -1.05 
 92 	 181 	 2.62 	 	 1.05 	 	 -0.79 
250 	 181 	 3.14 	 	 1.57 	 	 -1.05 
127 	 182 	 2.36 	 	 -2.09 	 	 0.00 
280 	 182 	 2.09 	 	 -1.57 	 	 0.00 
240 	 183 	 -2.09 	 	 1.57 	 	 0.00 
 15 	 185 	 3.14 	 	 1.05 	 	 -0.52 
 35 	 186 	 2.36 	 	 -2.09 	 	 0.79 
201 	 188 	 2.36 	 	 -1.05 	 	 0.52 
 51 	 189 	 -2.36 	 	 1.05 	 	 -0.52 
230 	 191 	 2.36 	 	 -1.57 	 	 0.00 
240 	 191 	 3.14 	 	 0.79 	 	 -0.79 
 65 	 193 	 3.14 	 	 -1.05 	 	 0.79 
 85 	 193 	 3.14 	 	 1.57 	 	 -1.05 
157 	 193 	 3.14 	 	 -1.05 	 	 0.79 
 46 	 197 	 -2.36 	 	 1.57 	 	 -0.52 
244 	 199 	 3.14 	 	 1.57 	 	 -1.05 
233 	 200 	 2.09 	 	 -1.57 	 	 0.00 
178 	 204 	 3.14 	 	 2.09 	 	 -1.05 
259 	 205 	 3.14 	 	 1.05 	 	 -0.79 
222 	 207 	 2.36 	 	 -2.09 	 	 0.00 
164 	 208 	 -2.36 	 	 2.09 	 	 0.00 
171 	 208 	 3.14 	 	 -1.57 	 	 0.52 
247 	 211 	 3.14 	 	 1.57 	 	 -1.05 
264 	 212 	 2.36 	 	 -2.09 	 	 0.00 
183 	 213 	 -2.62 	 	 2.09 	 	 -0.79 
222 	 214 	 3.14 	 	 1.57 	 	 -1.05 
240 	 214 	 2.36 	 	 -2.09 	 	 0.52 
 89 	 215 	 3.14 	 	 1.05 	 	 -0.79 
211 	 215 	 2.36 	 	 -1.57 	 	 0.00 
 79 	 216 	 2.09 	 	 -2.09 	 	 0.00 
 42 	 219 	 -2.36 	 	 1.57 	 	 -0.79 
196 	 219 	 3.14 	 	 1.05 	 	 -0.79 
266 	 219 	 2.36 	 	 -2.09 	 	 0.00 
 63 	 220 	 2.36 	 	 -1.57 	 	 0.00 
119 	 220 	 2.36 	 	 -2.09 	 	 0.00 
 93 	 221 	 2.36 	 	 -2.09 	 	 0.00 
103 	 221 	 3.14 	 	 -1.05 	 	 0.79 
213 	 224 	 2.09 	 	 -1.57 	 	 0.00 
225 	 224 	 3.14 	 	 1.05 	 	 -0.79 
185 	 225 	 3.14 	 	 1.05 	 	 -0.79 
177 	 226 	 2.36 	 	 -1.57 	 	 0.00 
 34 	 227 	 2.36 	 	 -1.05 	 	 0.79 
 88 	 229 	 3.14 	 	 0.79 	 	 -0.79 
155 	 229 	 2.62 	 	 -2.09 	 	 1.57 
 61 	 230 	 -2.36 	 	 1.05 	 	 0.00 
290 	 230 	 3.14 	 	 0.79 	 	 -0.79 
 72 	 231 	 3.14 	 	 -1.57 	 	 0.79 
263 	 231 	 -2.62 	 	 1.05 	 	 -0.79 
281 	 231 	 2.09 	 	 -2.09 	 	 0.00 
190 	 233 	 2.09 	 	 -2.09 	 	 0.00 
200 	 233 	 3.14 	 	 1.05 	 	 -0.79 
215 	 233 	 2.09 	 	 -1.57 	 	 0.00 
166 	 237 	 3.14 	 	 -1.57 	 	 0.00 
118 	 238 	 3.14 	 	 -1.05 	 	 0.79 
283 	 238 	 -2.36 	 	 2.09 	 	 0.00 
135 	 239 	 2.36 	 	 -1.57 	 	 0.00 
289 	 240 	 2.36 	 	 3.14 	 	 1.05 
231 	 241 	 -2.36 	 	 1.57 	 	 0.00 
252 	 241 	 3.14 	 	 1.57 	 	 -0.79 
240 	 244 	 3.14 	 	 -1.57 	 	 1.05 
135 	 246 	 -2.36 	 	 1.57 	 	 0.52 
149 	 246 	 2.36 	 	 -2.09 	 	 0.00 
278 	 247 	 3.14 	 	 1.05 	 	 -1.05 
 84 	 252 	 2.36 	 	 -1.57 	 	 0.00 
 90 	 252 	 3.14 	 	 1.05 	 	 0.00 
179 	 252 	 3.14 	 	 1.05 	 	 -1.05 
193 	 253 	 -2.36 	 	 1.57 	 	 0.00 
 96 	 254 	 2.36 	 	 -1.57 	 	 0.52 
157 	 254 	 3.14 	 	 1.57 	 	 -1.05 
201 	 254 	 3.14 	 	 1.05 	 	 -0.79 
232 	 255 	 2.36 	 	 -2.09 	 	 0.00 
252 	 255 	 3.14 	 	 1.05 	 	 -0.79 
 82 	 259 	 -2.36 	 	 1.05 	 	 -0.52 
135 	 259 	 2.36 	 	 -2.09 	 	 0.00 
172 	 259 	 2.09 	 	 -2.09 	 	 0.00 
218 	 262 	 -2.36 	 	 1.57 	 	 0.00 
 54 	 264 	 -2.36 	 	 2.09 	 	 0.00 
 66 	 264 	 3.14 	 	 1.57 	 	 -1.05 
100 	 268 	 -2.62 	 	 -1.05 	 	 0.79 
 70 	 269 	 2.36 	 	 -2.36 	 	 -0.52 
201 	 269 	 -2.09 	 	 1.57 	 	 0.00 
224 	 273 	 3.14 	 	 -1.57 	 	 0.79 
 47 	 274 	 3.14 	 	 -1.05 	 	 0.79 
159 	 274 	 2.09 	 	 -2.09 	 	 0.00 
216 	 274 	 2.36 	 	 -2.09 	 	 0.00 
101 	 279 	 3.14 	 	 0.79 	 	 -0.79 
122 	 280 	 -2.36 	 	 2.09 	 	 0.00 
228 	 281 	 2.36 	 	 -2.36 	 	 0.00 
144 	 284 	 3.14 	 	 1.05 	 	 -0.79 
158 	 284 	 -2.36 	 	 1.57 	 	 0.00 
 49 	 285 	 -2.36 	 	 2.09 	 	 0.00 
 60 	 288 	 2.62 	 	 -2.09 	 	 0.00 
246 	 290 	 -2.62 	 	 1.57 	 	 0.00 
